transaction_id,customer_id,transaction_ts,amount,currency,merchant,category,payment_method,status
T0000025,C0064,2025-08-25 08:01:04,238.88,USD,Acme Mart,TRAVEL,MOBILE_WALLET,APPROVED
T0000026,C0002,2024-02-02 12:01:49,2498.82,USD,Acme Mart,RENT,ACH,APPROVED
T0000027,C0019,2025-08-07 20:58:45,43.32,USD,OnlineHub,FUEL,ACH,APPROVED
T0000028,C0122,2025-11-05 15:41:38,2364.63,USD,DineTime,TRAVEL,ACH,APPROVED
T0000029,C0091,2024-12-13 03:58:42,126.28,USD,Acme Mart,ENTERTAINMENT,CARD,APPROVED
T0000030,C0064,2024-10-12 16:50:37,611.12,USD,OnlineHub,TRAVEL,ACH,APPROVED
T0000031,C0064,2025-07-07 00:32:14,1863.51,USD,PowerGrid,RENT,CARD,APPROVED
T0000032,C0249,2025-05-07 07:46:56,3023.28,USD,HealthPlus,RENT,ACH,APPROVED
T0000033,C0222,2025-02-03 09:39:20,271.22,USD,CityRentals,ENTERTAINMENT,CASH,APPROVED
T0000034,C0238,2024-10-30 07:55:34,345.87,USD,PowerGrid,ONLINE_SHOPPING,CASH,APPROVED
T0000035,C0248,2024-02-28 01:49:32,146.9,USD,PowerGrid,GROCERY,CARD,APPROVED
T0000036,C0150,2025-06-04 02:55:00,605.91,USD,PowerGrid,ONLINE_SHOPPING,ACH,APPROVED
T0000037,C0218,2025-08-06 08:57:51,46.04,USD,SkyTravel,UTILITIES,ACH,APPROVED
T0000038,C0149,2025-08-01 19:02:02,7.98,USD,SkyTravel,SUBSCRIPTION,CASH,APPROVED
T0000039,C0081,2024-05-14 23:30:07,44.83,USD,FuelGo,DINING,ACH,APPROVED
T0000040,C0077,2025-07-30 03:38:24,382.83,USD,SkyTravel,ONLINE_SHOPPING,CARD,APPROVED
T0000041,C0019,2024-03-11 08:53:38,39.84,USD,StreamFlix,FUEL,ACH,DECLINED
T0000042,C0095,2025-10-31 19:15:29,35.76,USD,PowerGrid,DINING,WIRE,APPROVED
T0000043,C0003,2024-04-19 20:08:32,51.91,USD,SkyTravel,FUEL,ACH,APPROVED
T0000044,C0040,2025-10-11 09:36:40,59.94,USD,HealthPlus,DINING,WIRE,APPROVED
T0000045,C0130,2024-10-10 01:36:18,305.09,USD,Acme Mart,ONLINE_SHOPPING,CARD,APPROVED
T0000046,C0001,2025-07-18 15:34:17,1158.97,USD,StreamFlix,HEALTHCARE,ACH,APPROVED
T0000047,C0144,2025-01-13 21:12:30,32.41,USD,CityRentals,GROCERY,MOBILE_WALLET,APPROVED
T0000048,C0142,2024-02-10 13:01:38,183.32,USD,Acme Mart,UTILITIES,WIRE,APPROVED
T0000049,C0054,2025-02-20 22:35:51,2017.45,USD,FuelGo,TRAVEL,MOBILE_WALLET,DECLINED
T0000050,C0192,2024-06-30 15:00:40,371.79,USD,HealthPlus,UTILITIES,ACH,PENDING
T0000051,C0007,2024-09-11 09:42:50,299.89,USD,FuelGo,UTILITIES,CASH,APPROVED
T0000052,C0041,2025-04-16 12:43:50,1718.1,USD,Acme Mart,RENT,CASH,APPROVED
T0000053,C0079,2024-03-12 10:09:45,707.62,USD,HealthPlus,TRAVEL,CASH,APPROVED
T0000054,C0090,2024-04-28 09:30:37,65.95,USD,PowerGrid,FUEL,WIRE,DECLINED
T0000055,C0046,2025-03-20 12:35:09,77.19,USD,StreamFlix,SUBSCRIPTION,CARD,APPROVED
T0000056,C0187,2025-08-13 06:55:14,660.23,USD,PowerGrid,HEALTHCARE,CARD,APPROVED
T0000057,C0066,2025-07-05 07:10:25,178.65,USD,Acme Mart,GROCERY,MOBILE_WALLET,DECLINED
T0000058,C0094,2024-05-07 10:56:03,25.64,USD,FuelGo,ENTERTAINMENT,MOBILE_WALLET,APPROVED
T0000059,C0130,2025-07-21 04:38:03,135.04,USD,FuelGo,DINING,CASH,APPROVED
T0000060,C0050,2024-11-04 14:47:05,201.15,USD,DineTime,ENTERTAINMENT,ACH,APPROVED
T0000061,C0141,2025-09-13 23:50:13,79.45,USD,HealthPlus,GROCERY,CASH,APPROVED
T0000062,C0083,2024-06-22 23:59:16,532.93,USD,HealthPlus,ONLINE_SHOPPING,MOBILE_WALLET,APPROVED
T0000063,C0022,2024-08-28 11:18:07,105.51,USD,MetroWater,DINING,WIRE,APPROVED
T0000064,C0058,2025-09-17 02:39:05,484.69,USD,Acme Mart,TRAVEL,ACH,PENDING
T0000065,C0117,2025-01-28 17:59:59,266.41,USD,MetroWater,ENTERTAINMENT,ACH,APPROVED
T0000066,C0103,2024-08-12 06:24:13,485.34,USD,Acme Mart,TRAVEL,CARD,APPROVED
T0000067,C0206,2024-05-04 16:37:09,75.04,USD,PowerGrid,FUEL,ACH,DECLINED
T0000068,C0035,2025-03-29 22:18:21,802.76,USD,PowerGrid,ONLINE_SHOPPING,MOBILE_WALLET,APPROVED
T0000069,C0209,2025-05-01 16:23:11,69.74,USD,PowerGrid,FUEL,CASH,DECLINED
T0000070,C0067,2024-09-01 09:59:52,2527.6,USD,StreamFlix,TRAVEL,MOBILE_WALLET,APPROVED
T0000071,C0113,2025-07-07 02:56:01,2512.51,USD,HealthPlus,RENT,WIRE,APPROVED
T0000072,C0036,2025-02-21 12:02:49,107.88,USD,CityRentals,UTILITIES,ACH,APPROVED
T0000073,C0139,2025-08-21 00:42:40,501.85,USD,HealthPlus,ONLINE_SHOPPING,CASH,APPROVED
T0000074,C0220,2025-02-03 15:15:21,33.53,USD,Acme Mart,SUBSCRIPTION,WIRE,APPROVED
T0000075,C0138,2025-03-22 17:40:54,121.98,USD,HealthPlus,FUEL,CASH,APPROVED
T0000076,C0008,2024-05-10 22:39:20,104.16,USD,DineTime,ENTERTAINMENT,ACH,APPROVED
T0000077,C0137,2024-03-26 23:24:06,227.2,USD,MetroWater,GROCERY,MOBILE_WALLET,APPROVED
T0000078,C0110,2024-12-01 07:42:22,349.4,USD,CityRentals,UTILITIES,CARD,APPROVED
T0000079,C0117,2025-03-07 09:11:05,512.88,USD,DineTime,HEALTHCARE,WIRE,APPROVED
T0000080,C0214,2024-12-24 08:09:49,1928.74,USD,PowerGrid,RENT,CARD,PENDING
T0000081,C0167,2024-07-23 00:44:31,2674.96,USD,Acme Mart,RENT,CARD,DECLINED
T0000082,C0160,2024-08-11 16:55:52,110.65,USD,OnlineHub,UTILITIES,CARD,APPROVED
T0000083,C0180,2024-04-27 05:57:45,154.55,USD,CityRentals,DINING,MOBILE_WALLET,APPROVED
T0000084,C0247,2025-01-19 14:26:30,26.08,USD,Acme Mart,DINING,WIRE,APPROVED
T0000085,C0242,2024-11-04 21:51:37,274.19,USD,HealthPlus,TRAVEL,CARD,APPROVED
T0000086,C0207,2025-03-14 13:29:31,2710.95,USD,MetroWater,RENT,CARD,APPROVED
T0000087,C0018,2024-04-18 15:47:02,100.66,USD,Acme Mart,FUEL,CASH,APPROVED
T0000088,C0246,2025-06-18 23:40:56,957.02,USD,OnlineHub,HEALTHCARE,ACH,APPROVED
T0000089,C0070,2025-08-29 09:46:19,65.61,USD,PowerGrid,SUBSCRIPTION,CASH,APPROVED
T0000090,C0083,2024-09-06 16:55:10,2500.66,USD,SkyTravel,TRAVEL,WIRE,DECLINED
T0000091,C0146,2024-11-28 06:37:14,55.11,USD,FuelGo,SUBSCRIPTION,CARD,APPROVED
T0000092,C0125,2025-09-02 10:03:31,1096.73,USD,StreamFlix,TRAVEL,WIRE,APPROVED
T0000093,C0143,2025-02-20 17:47:18,131.57,USD,HealthPlus,GROCERY,CARD,APPROVED
T0000094,C0143,2024-04-05 10:42:46,2087.3,USD,OnlineHub,TRAVEL,CASH,APPROVED
T0000095,C0057,2025-07-20 19:19:48,209.08,USD,StreamFlix,ENTERTAINMENT,MOBILE_WALLET,APPROVED
T0000096,C0089,2025-04-09 09:51:49,299.01,USD,PowerGrid,ENTERTAINMENT,WIRE,APPROVED
T0000097,C0079,2025-07-02 06:44:27,49.95,USD,HealthPlus,DINING,WIRE,APPROVED
T0000098,C0050,2025-06-21 21:43:42,2228.88,USD,StreamFlix,TRAVEL,MOBILE_WALLET,PENDING
T0000099,C0073,2024-11-05 00:30:54,2798.31,USD,StreamFlix,RENT,ACH,APPROVED
T0000100,C0182,2025-12-15 04:35:51,27.72,USD,Acme Mart,FUEL,CARD,APPROVED
T0000101,C0164,2025-05-05 16:02:13,127.59,USD,Acme Mart,ONLINE_SHOPPING,MOBILE_WALLET,APPROVED
T0000102,C0088,2024-03-07 14:35:21,386.89,USD,StreamFlix,UTILITIES,CASH,APPROVED
T0000103,C0126,2025-07-30 11:03:44,2184.85,USD,Acme Mart,RENT,ACH,APPROVED
T0000104,C0022,2025-09-25 08:13:01,399.43,USD,DineTime,TRAVEL,MOBILE_WALLET,APPROVED
T0000105,C0199,2025-03-15 11:07:06,63.25,USD,OnlineHub,FUEL,WIRE,APPROVED
T0000106,C0146,2024-09-27 02:57:21,9.52,USD,SkyTravel,SUBSCRIPTION,ACH,APPROVED
T0000107,C0041,2025-04-06 21:37:12,562.75,USD,SkyTravel,TRAVEL,ACH,APPROVED
T0000108,C0121,2025-04-09 02:35:29,11.36,USD,StreamFlix,DINING,WIRE,APPROVED
T0000109,C0176,2025-07-11 08:11:06,2775.54,USD,MetroWater,TRAVEL,ACH,APPROVED
T0000110,C0166,2024-11-10 21:39:53,365.2,USD,CityRentals,UTILITIES,CARD,APPROVED
T0000111,C0192,2024-11-07 14:39:17,74.09,USD,OnlineHub,SUBSCRIPTION,CARD,APPROVED
T0000112,C0242,2024-02-10 15:43:46,102.59,USD,OnlineHub,DINING,CASH,APPROVED
T0000113,C0189,2025-11-21 20:56:32,909.53,USD,Acme Mart,HEALTHCARE,CARD,APPROVED
T0000114,C0151,2024-06-28 17:07:49,249.9,USD,StreamFlix,GROCERY,MOBILE_WALLET,APPROVED
T0000115,C0133,2025-05-18 03:19:19,1099.71,USD,CityRentals,ONLINE_SHOPPING,MOBILE_WALLET,APPROVED
T0000116,C0121,2024-12-03 14:59:15,618.44,USD,FuelGo,HEALTHCARE,CARD,APPROVED
T0000117,C0178,2024-03-31 11:27:04,349.42,USD,DineTime,ONLINE_SHOPPING,MOBILE_WALLET,APPROVED
T0000118,C0065,2024-01-02 23:56:40,182.72,USD,DineTime,HEALTHCARE,MOBILE_WALLET,APPROVED
T0000119,C0223,2025-09-29 18:08:58,74.68,USD,Acme Mart,FUEL,ACH,APPROVED
T0000120,C0161,2024-10-21 15:57:04,913.19,USD,HealthPlus,ONLINE_SHOPPING,WIRE,APPROVED
T0000121,C0226,2024-11-14 20:03:19,150.1,USD,MetroWater,ONLINE_SHOPPING,ACH,APPROVED
T0000122,C0004,2024-04-30 23:34:56,67.12,USD,HealthPlus,FUEL,CARD,APPROVED
T0000123,C0214,2025-03-01 17:34:02,209.38,USD,StreamFlix,UTILITIES,MOBILE_WALLET,APPROVED
T0000124,C0121,2025-09-05 18:30:16,1397.52,USD,CityRentals,TRAVEL,CASH,APPROVED
T0000125,C0192,2025-06-03 09:43:38,348.33,USD,StreamFlix,UTILITIES,CASH,APPROVED
T0000126,C0211,2025-11-06 17:49:38,74.3,USD,StreamFlix,GROCERY,MOBILE_WALLET,APPROVED
T0000127,C0222,2025-07-10 13:44:01,189.69,USD,OnlineHub,UTILITIES,WIRE,APPROVED
T0000128,C0117,2025-02-24 01:35:20,1305.71,USD,HealthPlus,HEALTHCARE,MOBILE_WALLET,APPROVED
T0000129,C0082,2025-10-29 05:32:16,847.75,USD,DineTime,ONLINE_SHOPPING,CASH,PENDING
T0000130,C0127,2025-03-26 03:37:49,35.93,USD,MetroWater,GROCERY,WIRE,APPROVED
T0000131,C0135,2024-06-07 02:43:27,23.34,USD,CityRentals,ONLINE_SHOPPING,CASH,APPROVED
T0000132,C0121,2025-11-21 19:25:42,71.02,USD,DineTime,DINING,CARD,APPROVED
T0000133,C0098,2024-03-11 08:32:51,943.93,USD,OnlineHub,HEALTHCARE,MOBILE_WALLET,APPROVED
T0000134,C0162,2025-10-10 03:39:33,199.5,USD,SkyTravel,DINING,CASH,PENDING
T0000135,C0114,2024-02-27 10:40:52,283.72,USD,Acme Mart,UTILITIES,CARD,APPROVED
T0000136,C0092,2025-11-29 06:33:20,651.72,USD,HealthPlus,HEALTHCARE,MOBILE_WALLET,APPROVED
T0000137,C0044,2025-05-24 21:13:55,50.01,USD,DineTime,UTILITIES,MOBILE_WALLET,APPROVED
T0000138,C0037,2024-01-10 16:56:21,1410.39,USD,StreamFlix,TRAVEL,CASH,APPROVED
T0000139,C0231,2024-12-19 21:23:34,137.13,USD,CityRentals,DINING,CARD,APPROVED
T0000140,C0077,2025-01-28 17:35:35,208.64,USD,OnlineHub,ENTERTAINMENT,WIRE,APPROVED
T0000141,C0028,2025-12-17 10:44:56,1175.02,USD,FuelGo,TRAVEL,MOBILE_WALLET,APPROVED
T0000142,C0006,2025-05-23 10:25:12,85.97,USD,MetroWater,ENTERTAINMENT,CARD,DECLINED
T0000143,C0199,2025-09-27 09:07:30,1840.84,USD,FuelGo,TRAVEL,ACH,APPROVED
T0000144,C0174,2024-02-04 21:06:05,258.73,USD,Acme Mart,UTILITIES,WIRE,APPROVED
T0000145,C0094,2024-06-28 07:18:38,54.25,USD,StreamFlix,UTILITIES,WIRE,APPROVED
T0000146,C0034,2024-10-06 05:59:27,132.7,USD,FuelGo,FUEL,MOBILE_WALLET,APPROVED
T0000147,C0066,2025-04-24 02:44:29,1161.02,USD,StreamFlix,ONLINE_SHOPPING,WIRE,APPROVED
T0000148,C0037,2025-02-08 00:30:24,2587.41,USD,DineTime,TRAVEL,MOBILE_WALLET,APPROVED
T0000149,C0068,2025-10-15 13:31:29,27.3,USD,FuelGo,FUEL,WIRE,APPROVED
T0000150,C0028,2025-09-16 08:03:35,1440.86,USD,MetroWater,TRAVEL,MOBILE_WALLET,APPROVED
T0000151,C0166,2024-04-29 05:05:20,2324.97,USD,OnlineHub,RENT,WIRE,APPROVED
T0000152,C0012,2025-07-04 04:56:21,79.57,USD,OnlineHub,GROCERY,CARD,APPROVED
T0000153,C0100,2024-06-07 15:06:19,448.36,USD,PowerGrid,ONLINE_SHOPPING,CASH,APPROVED
T0000154,C0168,2024-10-13 01:11:28,2800.86,USD,MetroWater,RENT,CASH,DECLINED
T0000155,C0177,2024-04-11 13:22:27,333.73,USD,OnlineHub,HEALTHCARE,ACH,APPROVED
T0000156,C0140,2025-04-10 03:20:15,100.22,USD,StreamFlix,HEALTHCARE,ACH,PENDING
T0000157,C0170,2024-12-07 08:52:05,1943.03,USD,MetroWater,TRAVEL,CARD,APPROVED
T0000158,C0033,2024-08-26 11:57:44,20.39,USD,PowerGrid,SUBSCRIPTION,ACH,APPROVED
T0000159,C0199,2024-05-28 04:43:58,319.68,USD,MetroWater,UTILITIES,CARD,APPROVED
T0000160,C0139,2025-01-01 08:39:46,160.71,USD,SkyTravel,DINING,CARD,APPROVED
T0000161,C0151,2025-03-07 19:09:15,33.51,USD,StreamFlix,HEALTHCARE,CARD,APPROVED
T0000162,C0030,2025-04-07 18:20:39,1942.99,USD,FuelGo,RENT,MOBILE_WALLET,APPROVED
T0000163,C0057,2024-02-01 02:12:52,8.25,USD,PowerGrid,SUBSCRIPTION,WIRE,APPROVED
T0000164,C0123,2025-03-30 02:40:32,130.75,USD,SkyTravel,ENTERTAINMENT,CASH,APPROVED
T0000165,C0231,2025-10-01 23:02:58,1573.07,USD,CityRentals,RENT,CARD,APPROVED
T0000166,C0150,2025-04-09 18:24:23,109.7,USD,DineTime,FUEL,MOBILE_WALLET,APPROVED
T0000167,C0155,2024-08-08 15:39:30,34.26,USD,SkyTravel,ENTERTAINMENT,MOBILE_WALLET,APPROVED
T0000168,C0116,2024-04-07 11:22:46,1270.75,USD,OnlineHub,TRAVEL,CASH,APPROVED
T0000169,C0110,2025-04-30 02:26:39,1001.01,USD,FuelGo,HEALTHCARE,ACH,APPROVED
T0000170,C0024,2025-07-23 02:11:01,1023.75,USD,SkyTravel,RENT,WIRE,APPROVED
T0000171,C0151,2025-11-12 15:23:55,88.64,USD,SkyTravel,FUEL,CASH,APPROVED
T0000172,C0223,2025-08-14 18:28:27,242.26,USD,MetroWater,GROCERY,WIRE,APPROVED
T0000173,C0055,2025-07-23 13:22:56,269.56,USD,HealthPlus,UTILITIES,CARD,APPROVED
T0000174,C0030,2025-09-28 22:20:22,116.95,USD,DineTime,DINING,MOBILE_WALLET,PENDING
T0000175,C0173,2025-12-20 11:14:59,13.68,USD,StreamFlix,FUEL,CARD,APPROVED
T0000176,C0236,2025-02-14 02:32:00,533.02,USD,CityRentals,HEALTHCARE,ACH,APPROVED
T0000177,C0037,2025-04-09 12:24:41,27.48,USD,PowerGrid,GROCERY,ACH,APPROVED
T0000178,C0041,2024-02-23 05:39:52,474.34,USD,FuelGo,HEALTHCARE,MOBILE_WALLET,APPROVED
T0000179,C0041,2025-03-10 17:40:56,8.73,USD,SkyTravel,SUBSCRIPTION,WIRE,APPROVED
T0000180,C0156,2025-03-16 04:02:14,499.95,USD,HealthPlus,ONLINE_SHOPPING,MOBILE_WALLET,APPROVED
T0000181,C0073,2025-09-05 01:59:40,41.5,USD,StreamFlix,SUBSCRIPTION,CARD,APPROVED
T0000182,C0002,2024-10-23 11:56:47,939.19,USD,HealthPlus,TRAVEL,ACH,APPROVED
T0000183,C0031,2025-06-29 08:22:41,126.86,USD,DineTime,GROCERY,ACH,APPROVED
T0000184,C0129,2024-02-13 15:52:56,126.67,USD,FuelGo,FUEL,CARD,APPROVED
T0000185,C0005,2025-02-18 23:18:24,1105.79,USD,FuelGo,ONLINE_SHOPPING,MOBILE_WALLET,APPROVED
T0000186,C0107,2025-09-24 16:45:05,27.46,USD,Acme Mart,DINING,WIRE,APPROVED
T0000187,C0213,2025-02-14 19:04:36,141.31,USD,SkyTravel,HEALTHCARE,ACH,APPROVED
T0000188,C0021,2024-06-21 02:46:51,261.8,USD,FuelGo,ENTERTAINMENT,ACH,APPROVED
T0000189,C0131,2025-10-22 05:22:38,2073.45,USD,HealthPlus,RENT,WIRE,APPROVED
T0000190,C0061,2025-11-02 02:44:36,1151.47,USD,HealthPlus,RENT,ACH,APPROVED
T0000191,C0046,2025-08-01 23:24:38,559.42,USD,MetroWater,ONLINE_SHOPPING,MOBILE_WALLET,APPROVED
T0000192,C0163,2025-04-25 16:06:01,29.24,USD,FuelGo,SUBSCRIPTION,ACH,APPROVED
T0000193,C0162,2024-03-16 11:18:05,160.28,USD,MetroWater,DINING,CARD,APPROVED
T0000194,C0119,2024-04-02 22:23:30,49.94,USD,FuelGo,ONLINE_SHOPPING,WIRE,APPROVED
T0000195,C0153,2024-02-12 16:22:27,63.83,USD,MetroWater,FUEL,MOBILE_WALLET,PENDING
T0000196,C0233,2024-06-03 02:15:09,53.89,USD,FuelGo,SUBSCRIPTION,MOBILE_WALLET,APPROVED
T0000197,C0116,2024-06-25 01:25:30,2746.32,USD,FuelGo,RENT,CARD,APPROVED
T0000198,C0064,2025-01-07 13:34:30,1189.23,USD,PowerGrid,ONLINE_SHOPPING,MOBILE_WALLET,APPROVED
T0000199,C0235,2025-10-08 23:34:03,80.55,USD,FuelGo,DINING,MOBILE_WALLET,APPROVED
T0000200,C0086,2025-11-03 21:56:37,1591.26,USD,PowerGrid,RENT,CASH,APPROVED
T0000201,C0224,2024-11-13 23:53:10,146.68,USD,MetroWater,UTILITIES,ACH,DECLINED
T0000202,C0179,2025-10-20 11:57:34,43.04,USD,SkyTravel,ENTERTAINMENT,WIRE,APPROVED
T0000203,C0209,2025-03-09 18:30:48,274.64,USD,PowerGrid,UTILITIES,CARD,APPROVED
T0000204,C0093,2025-05-12 06:59:26,93.84,USD,CityRentals,GROCERY,ACH,APPROVED
T0000205,C0058,2025-07-06 19:10:13,78.88,USD,StreamFlix,UTILITIES,CARD,APPROVED
T0000206,C0010,2024-06-06 05:54:26,1315.83,USD,MetroWater,HEALTHCARE,ACH,APPROVED
T0000207,C0047,2025-01-08 08:38:53,65.68,USD,CityRentals,SUBSCRIPTION,CASH,APPROVED
T0000208,C0249,2024-11-12 17:04:34,734.66,USD,OnlineHub,ONLINE_SHOPPING,ACH,APPROVED
T0000209,C0232,2024-10-15 13:54:12,1135.13,USD,MetroWater,TRAVEL,CASH,APPROVED
T0000210,C0129,2024-05-21 09:06:08,68.61,USD,CityRentals,FUEL,ACH,APPROVED
T0000211,C0014,2025-06-12 04:32:21,1049.57,USD,PowerGrid,ONLINE_SHOPPING,CARD,APPROVED
T0000212,C0073,2024-05-30 15:55:40,2631.48,USD,StreamFlix,RENT,CASH,DECLINED
T0000213,C0024,2025-02-09 18:16:39,2459.27,USD,FuelGo,TRAVEL,CARD,APPROVED
T0000214,C0096,2024-11-22 03:36:27,1189.19,USD,SkyTravel,TRAVEL,WIRE,APPROVED
T0000215,C0215,2025-04-28 05:03:11,1189.16,USD,CityRentals,HEALTHCARE,CARD,APPROVED
T0000216,C0195,2024-08-08 05:26:37,541.08,USD,Acme Mart,ONLINE_SHOPPING,CARD,APPROVED
T0000217,C0141,2024-05-04 01:44:18,44.58,USD,SkyTravel,SUBSCRIPTION,WIRE,APPROVED
T0000218,C0062,2025-05-26 21:43:35,193.49,USD,MetroWater,ENTERTAINMENT,CASH,APPROVED
T0000219,C0138,2024-10-25 15:37:41,159.83,USD,MetroWater,GROCERY,ACH,APPROVED
T0000220,C0001,2025-11-15 03:07:01,31.46,USD,MetroWater,SUBSCRIPTION,CASH,APPROVED
T0000221,C0135,2025-06-03 20:10:33,110.84,USD,PowerGrid,HEALTHCARE,MOBILE_WALLET,APPROVED
T0000222,C0006,2024-09-16 00:35:28,262.63,USD,Acme Mart,ENTERTAINMENT,CASH,PENDING
T0000223,C0092,2024-12-06 04:51:26,1627.53,USD,SkyTravel,RENT,MOBILE_WALLET,APPROVED
T0000224,C0012,2025-05-05 23:00:02,823.56,USD,CityRentals,HEALTHCARE,CASH,PENDING
T0000225,C0047,2024-02-14 07:15:44,43.98,USD,OnlineHub,UTILITIES,CARD,APPROVED
T0000226,C0227,2025-07-10 17:14:09,82.32,USD,StreamFlix,GROCERY,MOBILE_WALLET,APPROVED
T0000227,C0065,2024-02-18 23:52:28,189.56,USD,HealthPlus,GROCERY,WIRE,APPROVED
T0000228,C0085,2025-03-26 14:04:38,29.27,USD,FuelGo,DINING,CASH,DECLINED
T0000229,C0087,2025-06-15 09:42:39,208.56,USD,OnlineHub,UTILITIES,WIRE,DECLINED
T0000230,C0206,2024-07-03 19:51:36,2545.0,USD,SkyTravel,RENT,CASH,APPROVED
T0000231,C0076,2025-09-09 15:30:51,162.87,USD,FuelGo,HEALTHCARE,WIRE,APPROVED
T0000232,C0043,2025-03-21 09:59:46,425.1,USD,Acme Mart,ONLINE_SHOPPING,WIRE,APPROVED
T0000233,C0164,2025-11-26 05:49:29,23.39,USD,DineTime,GROCERY,WIRE,APPROVED
T0000234,C0244,2024-03-09 08:35:32,39.98,USD,MetroWater,GROCERY,CASH,APPROVED
T0000235,C0200,2025-11-26 16:22:52,549.6,USD,MetroWater,HEALTHCARE,CARD,APPROVED
T0000236,C0243,2025-01-10 14:29:31,564.3,USD,SkyTravel,HEALTHCARE,MOBILE_WALLET,APPROVED
T0000237,C0081,2025-05-26 18:51:01,53.67,USD,SkyTravel,DINING,CARD,APPROVED
T0000238,C0100,2025-09-18 10:23:51,26.49,USD,StreamFlix,FUEL,CASH,APPROVED
T0000239,C0178,2025-12-31 16:12:21,244.21,USD,CityRentals,ONLINE_SHOPPING,CARD,APPROVED
T0000240,C0023,2024-11-03 05:44:04,1005.08,USD,SkyTravel,HEALTHCARE,MOBILE_WALLET,APPROVED
T0000241,C0183,2024-07-24 05:03:22,321.6,USD,PowerGrid,UTILITIES,ACH,APPROVED
T0000242,C0061,2025-07-18 04:43:29,36.41,USD,PowerGrid,ONLINE_SHOPPING,MOBILE_WALLET,APPROVED
T0000243,C0157,2025-02-23 20:55:53,957.8,USD,DineTime,RENT,CASH,APPROVED
T0000244,C0019,2025-06-13 12:32:36,389.5,USD,SkyTravel,UTILITIES,CASH,APPROVED
T0000245,C0033,2024-02-26 04:31:14,99.57,USD,CityRentals,FUEL,ACH,APPROVED
T0000246,C0133,2024-08-18 12:35:53,135.57,USD,CityRentals,UTILITIES,WIRE,DECLINED
T0000247,C0243,2025-07-18 09:59:32,135.29,USD,SkyTravel,FUEL,WIRE,APPROVED
T0000248,C0033,2025-08-29 21:08:26,124.81,USD,SkyTravel,DINING,MOBILE_WALLET,APPROVED
T0000249,C0040,2025-07-31 01:29:59,270.32,USD,MetroWater,UTILITIES,WIRE,APPROVED
T0000250,C0212,2025-08-08 15:10:02,24.9,USD,MetroWater,GROCERY,WIRE,APPROVED
T0000251,C0159,2024-11-05 17:35:00,127.02,USD,PowerGrid,GROCERY,WIRE,APPROVED
T0000252,C0063,2025-03-01 17:37:51,92.74,USD,SkyTravel,ENTERTAINMENT,CARD,APPROVED
T0000253,C0119,2024-11-22 12:34:28,1053.57,USD,CityRentals,TRAVEL,WIRE,APPROVED
